step,tokens_seen,elapsed_seconds,loss,learning_rate,head_learning_rate,decoder_learning_rate,backbone_learning_rate
50,52428800,135.494277,4.31717743,1.9124999999999997e-05,1.9124999999999997e-05,0.0,0.0
100,104857600,193.13156,5.43241864,3.7875e-05,3.7875e-05,0.0,0.0
150,157286400,250.953319,5.48689573,5.6624999999999994e-05,5.6624999999999994e-05,0.0,0.0
200,209715200,308.634953,5.01850343,7.537499999999999e-05,7.537499999999999e-05,0.0,0.0
250,262144000,366.788998,3.68324576,9.412499999999998e-05,9.412499999999998e-05,3.9218749999999994e-05,3.9218749999999994e-05
300,314572800,425.279665,6.69632805,0.00011287499999999998,0.00011287499999999998,4.7031249999999995e-05,4.7031249999999995e-05
350,367001600,483.167291,5.3519612,0.000131625,0.000131625,5.4843749999999995e-05,5.4843749999999995e-05
400,419430400,541.069621,4.50860264,0.00015037499999999998,0.00015037499999999998,6.265625e-05,6.265625e-05
450,471859200,599.141591,5.56757149,0.00016912499999999998,0.00016912499999999998,7.046875e-05,7.046875e-05
500,524288000,657.039245,4.7428947,0.00018787499999999997,0.00018787499999999997,7.828125e-05,7.828125e-05
550,576716800,771.823806,6.0074809,0.00020662499999999997,0.00020662499999999997,8.609375e-05,8.609375e-05
600,629145600,830.218408,3.2782408,0.00022537499999999996,0.00022537499999999996,9.390625e-05,9.390625e-05
650,681574400,888.21528,5.63202869,0.00024412499999999996,0.00024412499999999996,0.00010171875,0.00010171875
700,734003200,946.116926,4.11166137,0.000262875,0.000262875,0.00010953125,0.00010953125
750,786432000,1004.180125,4.57104272,0.000281625,0.000281625,0.00011734375,0.00011734375
800,838860800,1062.081487,6.64284833,0.0003,0.0003,0.000125,0.000125
850,891289600,1120.930207,3.61729394,0.0002999949443403018,0.0002999949443403018,0.00012499789347512576,0.00012499789347512576
900,943718400,1178.970824,5.21562715,0.00029997977770200335,0.00029997977770200335,0.0001249915740425014,0.0001249915740425014
950,996147200,1236.870353,3.98440608,0.00029995450110746944,0.00029995450110746944,0.00012498104212811228,0.00012498104212811228
1000,1048576000,1294.784108,4.73097532,0.00029991911626056476,0.00029991911626056476,0.000124966298441902,0.000124966298441902
1050,1101004800,1394.788598,5.70579562,0.0002998736255465393,0.0002998736255465393,0.00012494734397772473,0.00012494734397772473
1100,1153433600,1452.809329,3.78787023,0.00029981803203186743,0.00029981803203186743,0.0001249241800132781,0.0001249241800132781
1150,1205862400,1511.61666,4.65599228,0.00029975233946404083,0.00029975233946404083,0.00012489680811001702,0.00012489680811001702
1200,1258291200,1569.515798,6.17413607,0.00029967655227131654,0.00029967655227131654,0.00012486523011304856,0.00012486523011304856
1250,1310720000,1627.428205,3.75402984,0.00029959067556241793,0.00029959067556241793,0.00012482944815100748,0.00012482944815100748
1300,1363148800,1685.355757,6.07054377,0.0002994947151261906,0.0002994947151261906,0.00012478946463591277,0.00012478946463591277
